Date,CPI,CPIH,RPI
2018 MAY,2.4,2.3,3.3
2018 JUN,2.4,2.3,3.4
2018 JUL,2.5,2.3,3.2
2018 AUG,2.7,2.4,3.5
2018 SEP,2.4,2.2,3.3
2018 OCT,2.4,2.2,3.3
2018 NOV,2.3,2.2,3.2
2018 DEC,2.1,2,2.7
2019 JAN,1.8,1.8,2.5
2019 FEB,1.9,1.8,2.5
2019 MAR,1.9,1.8,2.4
2019 APR,2.1,2,3
2019 MAY,2,1.9,3
2019 JUN,2,1.9,2.9
2019 JUL,2.1,2,2.8
2019 AUG,1.7,1.7,2.6
2019 SEP,1.7,1.7,2.4
2019 OCT,1.5,1.5,2.1
2019 NOV,1.5,1.5,2.2
2019 DEC,1.3,1.4,2.2
2020 JAN,1.8,1.8,2.7
2020 FEB,1.7,1.7,2.5
2020 MAR,1.5,1.5,2.6
2020 APR,0.8,0.9,1.5
2020 MAY,0.5,0.7,1
2020 JUN,0.6,0.8,1.1
2020 JUL,1,1.1,1.6
2020 AUG,0.2,0.5,0.5
2020 SEP,0.5,0.7,1.1
2020 OCT,0.7,0.9,1.3
